"Client","Campaign Name","Sent Date","Total Recipients","Opens","Open Rate","Clicks","Click Rate","CTR","Bounces","Unsubscriptions","Spam Complaints","Tags","Email Format","Time","Subject","Employment Status","Topic","Product Type","Date Entered","MoAf","Day","Covid","Size","Subject Length","Punctuation","lastChar","Duplicate","Techniques"
"Aspen Music Festival and School","AMFS Fanfare SHORT 2024-12-13",2024-12-13,6140,2802,52.9,156,2.95,5.57,843,88,2,NA,"EmailBuilder","12:01:00","Fanfare: Create Your Legacy at the AMFS","Active","Year-End","Donor-Centric
Newsletter",2025-06-09,"Afternoon","Friday","Post-COVID","Small",39,"Yes","No Punctuation","Yes","No"
"Aspen Music Festival and School","AMFS Fanfare SHORT 2025-04-29",2025-05-05,5019,2175,47.27,186,4.04,8.55,418,57,2,NA,"EmailBuilder","09:30:00","Fanfare: Create Your Legacy at the AMFS","Active","Mixed/Other","Donor-Centric
Newsletter",2025-06-09,"Morning","Monday","Post-COVID","Small",39,"Yes","No Punctuation","Yes","No"
"Avon Old Farms Visions","AvonOldFarms_DA_LegacyChallenge_2025-4-10",2025-04-10,1883,1068,63.91,26,1.56,2.43,212,7,0,NA,"EmailBuilder","09:30:00","Centennial Legacy Challenge","Active","Mixed/Other","Donor-Centric
Newsletter",2025-06-09,"Morning","Thursday","Post-COVID","Small",27,"No","No Punctuation","No","No"
"Avon Old Farms Visions","AvonOldFarms_IRA_PC_2025-4-22",2025-04-22,965,450,50,5,0.56,1.11,65,7,0,"IRA","EmailBuilder","09:30:00","Explore the Benefits of Giving from Your IRA","Active","IRA","Donor-Centric
Postcard",2025-06-09,"Morning","Tuesday","Post-COVID","Small",44,"No","No Punctuation","No","No"
"Avon Old Farms Visions","AvonOldFarms_CGA_PC_2025-06-02",2025-06-02,945,424,47.8,7,0.79,1.65,58,12,0,"2025||CGA","EmailBuilder","11:04:00","Make a difference. Build a lasting legacy.","Active","Annuities","Donor-Centric
Postcard",2025-06-09,"Morning","Monday","Post-COVID","Small",42,"Yes","Period","No","No"
"Bureau of Govt Research","BGR Visions 2024-12-13",2024-12-13,433,258,61.72,7,1.67,2.71,15,2,0,NA,"EmailBuilder","12:30:00","BGR 1932 Club Legacy Newsletter: Fall 2024","Active","Year-End","Visions",2025-06-09,"Morning","Friday","Post-COVID","Small",42,"Yes","No Punctuation","No","No"
"Bureau of Govt Research","BGR Visions 2025-04-08",2025-04-08,418,253,61.11,9,2.17,3.56,4,1,0,NA,"EmailBuilder","09:30:00","BGR 1932 Club Legacy Newsletter: Spring 2025","Active","IRA","Visions",2025-06-09,"Morning","Tuesday","Post-COVID","Small",44,"Yes","No Punctuation","No","No"
"Catholic Foundation Techniques","Good Advisor Summer/Fall 2024 (3 of 3)",2024-07-23,984,466,48.59,180,18.77,38.63,25,4,0,NA,"EmailBuilder","09:00:00","The Good Advisor: Life Income Gifts","Active","Life Income Gifts","Professional
Advisor
Newsletter",2025-06-09,"Morning","Tuesday","Post-COVID","Small",35,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor Winter 2024 (1 of 3)",2024-11-12,955,475,50.48,165,17.53,34.74,14,2,0,NA,"EmailBuilder","08:30:00","The Good Advisor: Talking to Clients About Giving Through Wills and Trusts","Active","Wills","Professional
Advisor
Newsletter",2025-06-09,"Morning","Tuesday","Post-COVID","Small",74,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor Spring 2025 (2 of 3)",2025-03-20,917,483,53.43,245,27.1,50.72,13,3,0,NA,"EmailBuilder","11:01:00","The Good Advisor: Help Clients Turn a Tax Hit Into a Tax Advantage","Active","Tax Time","Professional
Advisor
Newsletter",2025-06-09,"Morning","Thursday","Post-COVID","Small",66,"Yes","No Punctuation","No","Yes"
"Chamber Music NW","CMNW Visions 2024-07-01",2024-07-02,4740,2464,52.08,10,0.21,0.41,9,69,4,NA,"EmailBuilder","07:30:00","Visions: a Planned Giving Newsletter from CMNW","Active","Life Stages","Visions",2025-06-09,"Morning","Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW Visions 2025-05-06",2025-05-06,4436,2432,54.99,9,0.2,0.37,13,30,1,NA,"EmailBuilder","06:30:00","Visions: a Planned Giving Newsletter from CMNW","Active","IRA","Visions",2025-06-09,"Afternoon","Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chapin School","Chapin ""Life Stages"" Postcard 2024-11-13",2024-11-13,1341,913,68.19,9,0.67,0.99,2,4,0,NA,"EmailBuilder","14:00:00","Creating a Legacy is a Lifelong Journey","Active","Life Stages","Donor-Centric
Postcard",2025-06-09,"Afternoon","Wednesday","Post-COVID","Small",39,"No","No Punctuation","No","No"
"Computer History Museum","CHM_MakeAWillMonth_2024-08-06",2024-08-06,2325,1117,49.42,11,0.49,0.98,65,15,0,NA,"EmailBuilder","10:30:00","Shape your legacy. Secure our future.","Active","Wills","Donor-Centric
Target Mailer",2025-06-09,"Morning","Tuesday","Post-COVID","Small",37,"Yes","Period","No","No"
"Computer History Museum","CHM_YearEnd_2024-12-19",2024-12-19,2244,1105,51.9,15,0.7,1.36,115,17,0,NA,"EmailBuilder","09:30:00","Celebrate. Reflect. Give.","Active","Year-End","Donor-Centric
Target Mailer",2025-06-09,"Morning","Thursday","Post-COVID","Small",25,"Yes","Period","No","No"
"Computer History Museum","CHM_QCD_2025-03-18",2025-03-18,2403,1219,51.92,15,0.64,1.23,55,11,1,"IRA","EmailBuilder","11:05:00","Use your IRA to change lives.","Active","IRA","Donor-Centric
Target Mailer",2025-06-09,"Morning","Tuesday","Post-COVID","Small",29,"Yes","Period","No","No"
"Creighton Techniques","Creighton Techniques 3Q24 2024-08-28",2024-08-28,375,171,47.63,41,11.42,23.98,16,1,0,NA,"EmailBuilder","09:30:00","Unique Giving Options for Farmers and Ranchers","Active","Farmers and Ranchers","Professional
Advisor
Newsletter",2025-06-09,"Morning","Wednesday","Post-COVID","Small",46,"No","No Punctuation","No","Yes"
"Creighton Techniques","Creighton Techniques 4Q24 (2/4)",2024-10-18,373,173,48.6,46,12.92,26.59,17,1,0,NA,"EmailBuilder","08:30:00","Talking to Clients About Giving Through Wills and Trusts","Active","Wills","Professional
Advisor
Newsletter",2025-06-09,"Morning","Friday","Post-COVID","Small",56,"No","No Punctuation","No","Yes"
"Emerson Health","Emerson Health Giving 2025-02-28",2025-02-28,1598,859,56.59,9,0.59,1.05,80,19,0,NA,"EmailBuilder","10:02:00","From Saving to Giving","Active","IRA","Donor-Centric
Newsletter",2025-06-09,"Morning","Friday","Post-COVID","Small",21,"No","No Punctuation","No","No"
